code,station_name,opening_date,search_val,latitude,longitude
CC11,Tai Seng,16-Apr-10,TAI SENG MRT STATION (CC11),1.33514150139202,103.888389300191
CC12,Bartley,28-May-09,BARTLEY MRT STATION (CC12),1.34250117805245,103.880177899184
NE12  CC13,Serangoon,28-May-09,SERANGOON MRT STATION (CC13),1.35063361526525,103.872771660431
CC14,Lorong Chuan,28-May-09,LORONG CHUAN MRT STATION (CC14),1.35161217074555,103.864151938651
NS17  CC15,Bishan,28-May-09,BISHAN MRT STATION (CC15),1.35131580146658,103.84914026532
CC16,Marymount,28-May-09,MARYMOUNT MRT STATION (CC16),1.348707263451,103.839423132332
CC17  TE9,Caldecott,8-Oct-11,CALDECOTT MRT STATION (TE9),1.33724561271722,103.840161782075
CC19  DT9,Botanic Gardens,7-Oct-11,BOTANIC GARDENS MRT STATION (CC19),1.32211373558877,103.814984510627
CC20,Farrer Road,7-Oct-11,FARRER ROAD MRT STATION (CC20),1.31743915158967,103.807379214161
CC21,Holland Village,7-Oct-11,HOLLAND VILLAGE MRT STATION (CC21),1.31224029631595,103.796399122407
EW21  CC22,Buona Vista,7-Oct-11,BUONA VISTA MRT STATION (EW21),1.3072237082044,103.790253514502
CC23,one-north,7-Oct-11,ONE-NORTH MRT STATION (CC23),1.29975987493555,103.78745750525
CC24,Kent Ridge,7-Oct-11,KENT RIDGE MRT STATION (CC24),1.29353349887123,103.784572738173
CC25,Haw Par Villa,7-Oct-11,HAW PAR VILLA MRT STATION (CC25),1.28257135772488,103.781752725064
CC26,Pasir Panjang,7-Oct-11,PASIR PANJANG MRT STATION (CC26),1.27621352233766,103.791350313288
CC27,Labrador Park,7-Oct-11,LABRADOR PARK MRT STATION (CC27),1.27225417749656,103.802631578766
CC28,Telok Blangah,7-Oct-11,TELOK BLANGAH MRT STATION (CC28),1.27070647717762,103.809761611219
NE1  CC29,HarbourFront,7-Oct-11,HARBOURFRONT MRT STATION (NE1 / CC29),1.26538938374901,103.821530157095
CE1  DT16,Bayfront,14-Jan-12,BAYFRONT MRT STATION (DT16 / CE1),1.28187378879209,103.859079764874
NS27  CE2  TE20,Marina Bay,14-Jan-12,MARINA BAY MRT STATION (CE2),1.27625146423743,103.855447156279
BP6–DT1,Bukit Panjang,27-Dec-15,BUKIT PANJANG MRT STATION (DT1),1.37900211641036,103.761535114929
DT2,Cashew,27-Dec-15,CASHEW MRT STATION (DT2),1.36981544925552,103.76443921414
DT3,Hillview,27-Dec-15,HILLVIEW MRT STATION (DT3),1.36234486803558,103.767418254007
DT5,Beauty World,27-Dec-15,BEAUTY WORLD MRT STATION (DT5),1.34122317558549,103.775794285083
DT6,King Albert Park,27-Dec-15,KING ALBERT PARK MRT STATION (DT6),1.33566161262214,103.783399113441
DT7,Sixth Avenue,27-Dec-15,SIXTH AVENUE MRT STATION (DT7),1.33085764536226,103.796906838288
DT8,Tan Kah Kee,27-Dec-15,TAN KAH KEE MRT STATION (DT8),1.32555623519898,103.807760304729
CC19  DT9,Botanic Gardens,27-Dec-15,BOTANIC GARDENS MRT STATION (CC19),1.32211373558877,103.814984510627
DT10  TE11,Stevens,27-Dec-15,STEVENS MRT STATION (DT10),1.32006555750626,103.826024401924
NS21–DT11,Newton,27-Dec-15,NEWTON MRT STATION (NS21),1.3123189224097,103.837984594021
NE7  DT12,Little India,27-Dec-15,LITTLE INDIA MRT STATION (NE7),1.30680019696174,103.849647059738
DT13,Rochor,27-Dec-15,ROCHOR MRT STATION (DT13),1.30385218527656,103.852769428884
EW12  DT14,Bugis,22-Dec-13,BUGIS MRT STATION (EW12),1.30046508509717,103.855706730933
CC4  DT15,Promenade,22-Dec-13,PROMENADE MRT STATION (CC4),1.29399798636232,103.860350000188
CE1  DT16,Bayfront,22-Dec-13,BAYFRONT MRT STATION (DT16 / CE1),1.28187378879209,103.859079764874
DT17,Downtown,22-Dec-13,DOWNTOWN MRT STATION (DT17),1.27944638178916,103.852840829581
DT18,Telok Ayer,22-Dec-13,TELOK AYER MRT STATION (DT18),1.28206894769394,103.848648781083
NE4  DT19,Chinatown,22-Dec-13,CHINATOWN MRT STATION (DT19),1.28422391919085,103.845143798953
DT20,Fort Canning,21-Oct-17,FORT CANNING MRT STATION (DT20),1.29248194822996,103.844331362465
DT21,Bencoolen,21-Oct-17,BENCOOLEN MRT STATION (DT21),1.29891843369422,103.850353762717
DT22,Jalan Besar,21-Oct-17,JALAN BESAR MRT STATION (DT22),1.3051713878069,103.855295713435
DT23,Bendemeer,21-Oct-17,BENDEMEER MRT STATION (DT23),1.31367252847691,103.862977620945
DT24,Geylang Bahru,21-Oct-17,GEYLANG BAHRU MRT STATION (DT24),1.32130110228321,103.871622627142
